                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   1.07,                 1.3452,                  1.118,                0.49248,                0.42161,                0.40905,                0.29286,                 1.1458,                 1.4983,                  1.192,             0.00053485,             0.00053485,             0.00053485
                     50,                 1.0468,                 1.2728,                  1.103,                0.50428,                0.43896,                0.42701,                 0.3055,                 1.1225,                 1.4776,                  1.174,             0.00052851,             0.00052851,             0.00052851
                     51,                 1.0294,                 1.2737,                 1.0954,                0.51441,                0.46053,                0.43807,                0.32123,                 1.0912,                 1.4619,                 1.1589,             0.00052216,             0.00052216,             0.00052216
                     52,                  1.029,                 1.2796,                 1.0978,                0.48212,                0.45136,                0.42939,                0.31279,                 1.1044,                 1.4554,                 1.1633,             0.00051582,             0.00051582,             0.00051582
                     53,                 1.0318,                 1.2689,                 1.0913,                0.47344,                 0.4494,                0.42004,                0.30471,                 1.1215,                 1.4892,                 1.1752,             0.00050948,             0.00050948,             0.00050948
                     54,                 1.0205,                 1.2587,                 1.0882,                0.51461,                 0.4496,                0.43941,                0.32109,                 1.1108,                 1.4827,                  1.162,             0.00050313,             0.00050313,             0.00050313
                     55,                 1.0174,                 1.2445,                 1.0852,                0.50152,                0.42914,                0.42774,                0.30673,                 1.1119,                 1.4782,                 1.1598,             0.00049679,             0.00049679,             0.00049679
                     56,                 1.0195,                 1.2401,                 1.0858,                0.45411,                0.50115,                0.45327,                0.32924,                 1.1074,                  1.474,                 1.1648,             0.00049044,             0.00049044,             0.00049044
                     57,                 1.0019,                  1.218,                 1.0774,                 0.5179,                0.45003,                0.43965,                0.31977,                 1.1104,                 1.4816,                 1.1657,              0.0004841,              0.0004841,              0.0004841
                     58,                0.99962,                 1.2177,                 1.0805,                0.44294,                0.47597,                0.44016,                0.31686,                 1.1389,                 1.4868,                 1.1751,             0.00047776,             0.00047776,             0.00047776
                     59,                0.99031,                 1.1897,                 1.0729,                0.50495,                0.44054,                0.42196,                0.30971,                 1.1052,                 1.4924,                 1.1632,             0.00047141,             0.00047141,             0.00047141
                     60,                0.98839,                 1.1793,                 1.0659,                0.51799,                 0.4369,                0.43329,                0.31972,                 1.1278,                 1.4831,                 1.1818,             0.00046507,             0.00046507,             0.00046507
                     61,                 1.0043,                 1.1969,                 1.0772,                0.51738,                0.47645,                0.44408,                0.31718,                 1.1162,                 1.4654,                 1.1657,             0.00045873,             0.00045873,             0.00045873
                     62,                0.96736,                 1.1704,                  1.061,                0.55918,                0.43597,                0.44308,                0.32184,                 1.1063,                 1.4888,                 1.1746,             0.00045238,             0.00045238,             0.00045238
                     63,                0.98964,                 1.1785,                 1.0743,                 0.5072,                0.43956,                0.44046,                0.32061,                 1.1167,                 1.4793,                 1.1741,             0.00044604,             0.00044604,             0.00044604
                     64,                0.98261,                 1.1632,                  1.066,                0.51537,                0.43687,                0.44251,                0.32003,                 1.1096,                 1.4694,                 1.1586,              0.0004397,              0.0004397,              0.0004397
                     65,                0.96379,                 1.1353,                 1.0617,                0.51373,                 0.4628,                0.44089,                0.31723,                 1.1363,                 1.4843,                  1.176,             0.00043335,             0.00043335,             0.00043335
                     66,                0.97302,                 1.1578,                 1.0708,                0.53834,                0.42733,                0.44135,                0.31977,                 1.1173,                 1.4751,                 1.1674,             0.00042701,             0.00042701,             0.00042701
                     67,                0.96685,                 1.1381,                 1.0633,                0.53132,                0.46687,                0.44468,                0.32262,                 1.1074,                 1.4672,                 1.1643,             0.00042066,             0.00042066,             0.00042066
                     68,                0.96942,                 1.1399,                 1.0663,                  0.479,                0.44647,                0.43905,                0.31944,                 1.1181,                 1.4879,                 1.1726,             0.00041432,             0.00041432,             0.00041432
                     69,                0.96812,                 1.1322,                 1.0569,                0.53975,                0.44373,                0.44678,                0.32593,                 1.1253,                 1.4763,                 1.1607,             0.00040798,             0.00040798,             0.00040798
                     70,                0.93302,                 1.0889,                 1.0499,                0.53224,                0.43778,                0.45072,                0.32752,                 1.0893,                 1.4789,                 1.1632,             0.00040163,             0.00040163,             0.00040163
                     71,                0.95935,                 1.1093,                 1.0541,                0.52762,                0.45365,                0.44837,                0.32916,                 1.1092,                 1.4816,                 1.1678,             0.00039529,             0.00039529,             0.00039529
                     72,                 0.9522,                 1.1065,                 1.0584,                0.53071,                0.43591,                0.44412,                 0.3202,                 1.0957,                 1.4712,                 1.1583,             0.00038895,             0.00038895,             0.00038895
                     73,                 0.9515,                 1.0871,                 1.0505,                0.51018,                  0.458,                0.44389,                 0.3225,                 1.1021,                 1.4689,                 1.1689,              0.0003826,              0.0003826,              0.0003826
                     74,                0.93105,                 1.0559,                 1.0507,                0.57315,                0.44292,                 0.4576,                 0.3331,                 1.1193,                 1.5026,                 1.1726,             0.00037626,             0.00037626,             0.00037626
                     75,                0.91911,                 1.0467,                 1.0383,                0.55009,                0.43128,                0.44099,                 0.3206,                 1.1185,                 1.5024,                 1.1731,             0.00036992,             0.00036992,             0.00036992
                     76,                 0.9252,                 1.0752,                 1.0503,                0.51243,                0.46481,                0.45406,                0.32981,                 1.1066,                 1.4903,                 1.1636,             0.00036357,             0.00036357,             0.00036357
                     77,                0.93407,                 1.0693,                   1.04,                0.51741,                0.47613,                 0.4566,                0.33512,                 1.1068,                 1.4823,                 1.1764,             0.00035723,             0.00035723,             0.00035723
                     78,                0.91216,                 1.0466,                 1.0375,                0.52189,                0.45419,                0.45339,                0.33265,                 1.1005,                 1.5032,                 1.1667,             0.00035089,             0.00035089,             0.00035089
                     79,                0.92349,                 1.0446,                 1.0432,                0.60467,                0.43144,                 0.4542,                 0.3279,                 1.1145,                 1.4814,                 1.1734,             0.00034454,             0.00034454,             0.00034454
                     80,                0.91512,                 1.0287,                 1.0389,                0.56689,                0.44438,                0.45757,                0.33338,                 1.1023,                  1.488,                 1.1702,              0.0003382,              0.0003382,              0.0003382
                     81,                0.90658,                 1.0204,                 1.0357,                0.56413,                0.44788,                0.45337,                0.33345,                 1.0955,                 1.4977,                 1.1692,             0.00033185,             0.00033185,             0.00033185
                     82,                0.91524,                 1.0251,                 1.0368,                0.54588,                0.47742,                0.46893,                 0.3414,                 1.1043,                  1.473,                 1.1654,             0.00032551,             0.00032551,             0.00032551
                     83,                0.89699,                 1.0049,                 1.0312,                 0.5613,                0.43085,                0.45524,                0.33011,                  1.086,                 1.4919,                 1.1635,             0.00031917,             0.00031917,             0.00031917
                     84,                0.89069,                0.98262,                  1.022,                0.56743,                0.47817,                0.46293,                0.33702,                 1.1057,                 1.4975,                 1.1728,             0.00031282,             0.00031282,             0.00031282
                     85,                0.87528,                0.95415,                 1.0079,                0.52533,                0.47281,                0.45286,                  0.332,                 1.0979,                 1.5258,                  1.173,             0.00030648,             0.00030648,             0.00030648
                     86,                0.88316,                0.97264,                 1.0231,                0.52808,                0.46536,                0.45332,                0.33503,                 1.1066,                 1.5185,                 1.1739,             0.00030014,             0.00030014,             0.00030014
                     87,                0.86547,                0.95792,                 1.0172,                0.55962,                0.45387,                0.45831,                0.33612,                 1.1181,                    1.5,                 1.1808,             0.00029379,             0.00029379,             0.00029379
                     88,                0.87055,                0.93915,                 1.0085,                0.54183,                0.46427,                0.45442,                0.33159,                 1.0962,                 1.5135,                 1.1615,             0.00028745,             0.00028745,             0.00028745
                     89,                0.86764,                0.95131,                 1.0194,                0.57987,                0.46006,                 0.4559,                0.33211,                 1.1098,                 1.5254,                 1.1807,             0.00028111,             0.00028111,             0.00028111
                     90,                0.86878,                0.92826,                 1.0151,                0.56614,                0.46117,                0.45373,                0.33386,                 1.0888,                 1.5047,                 1.1647,             0.00027476,             0.00027476,             0.00027476
                     91,                0.86346,                0.92609,                 1.0144,                0.57689,                0.45334,                0.45877,                0.33548,                 1.1104,                 1.5306,                 1.1769,             0.00026842,             0.00026842,             0.00026842
                     92,                0.84626,                0.89503,                 1.0027,                0.53106,                0.47758,                0.45856,                0.33838,                  1.112,                 1.5614,                  1.178,             0.00026207,             0.00026207,             0.00026207
                     93,                0.83874,                0.88816,                 1.0007,                0.56876,                0.46586,                0.46162,                 0.3388,                 1.0973,                 1.5197,                 1.1814,             0.00025573,             0.00025573,             0.00025573
                     94,                0.83738,                0.88023,                0.99599,                0.55238,                0.45245,                0.45361,                0.33303,                 1.1147,                 1.5293,                  1.175,             0.00024939,             0.00024939,             0.00024939
                     95,                0.85366,                0.89088,                  1.006,                0.59196,                0.42797,                0.45341,                0.33535,                  1.097,                 1.5146,                 1.1675,             0.00024304,             0.00024304,             0.00024304
                     96,                0.84281,                0.88402,                 1.0005,                0.60671,                0.44023,                0.45344,                0.33505,                 1.1007,                 1.5213,                 1.1781,              0.0002367,              0.0002367,              0.0002367
                     97,                0.84077,                0.87898,                0.99818,                0.54268,                0.46609,                0.45458,                0.33589,                 1.0984,                 1.5453,                 1.1835,             0.00023036,             0.00023036,             0.00023036
                     98,                 0.8326,                 0.8645,                 0.9953,                0.57646,                0.45508,                0.45615,                0.33982,                 1.0855,                  1.542,                 1.1816,             0.00022401,             0.00022401,             0.00022401
